                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94786,                 4.2992,                0.98361,                0.00095,                0.08185,                0.01176,                0.01011,                0.69386,                 4.0599,                 0.8442,             0.00012726,             0.00012726,             0.00012726
                      2,                0.76489,                 3.1275,                0.86702,                0.00513,                0.31096,                0.19222,                 0.1403,                0.69843,                 3.7824,                0.83518,             0.00026335,             0.00026335,             0.00026335
                      3,                0.79871,                 2.0345,                0.86756,                0.01334,                0.72905,                 0.3311,                0.24546,                0.72621,                 3.4372,                0.85084,             0.00039917,             0.00039917,             0.00039917
                      4,                0.73502,                 1.6109,                0.85163,                0.01323,                0.75243,                0.49843,                0.38447,                0.74505,                 3.3579,                0.91377,             0.00053472,             0.00053472,             0.00053472
                      5,                0.69893,                 1.2705,                0.84635,                0.79203,                0.25848,                0.79227,                  0.645,                0.69023,                 2.5587,                0.85212,                0.00067,                0.00067,                0.00067
                      6,                0.73867,                 1.0805,                0.86001,                0.98132,                0.54673,                 0.9505,                0.76991,                0.71132,                 2.1189,                0.86558,             0.00080501,             0.00080501,             0.00080501
                      7,                 0.7413,                0.92804,                0.86839,                0.92576,                0.80053,                0.93966,                0.76335,                 0.7723,                 1.7401,                0.88716,              0.0009036,              0.0009036,              0.0009036
                      8,                 0.6876,                0.82864,                0.85394,                 0.9103,                0.93847,                0.95712,                 0.7985,                0.69923,                 1.2693,                0.86663,              0.0009036,              0.0009036,              0.0009036
                      9,                0.68963,                0.78709,                 0.8504,                0.93234,                0.96988,                 0.9602,                0.81442,                0.66834,                 1.1037,                0.85429,              0.0009027,              0.0009027,              0.0009027
                     10,                0.67656,                0.77321,                0.84498,                0.92012,                 0.9809,                0.98639,                0.84009,                0.65076,                0.72214,                0.86451,              0.0009018,              0.0009018,              0.0009018
                     11,                0.64807,                0.69977,                 0.8535,                0.96714,                0.96327,                0.98643,                0.83983,                  0.659,                0.69235,                0.86383,              0.0009009,              0.0009009,              0.0009009
                     12,                0.66723,                0.66223,                0.84916,                0.93341,                0.98819,                0.98143,                 0.8246,                0.66117,                0.84737,                0.86324,                 0.0009,                 0.0009,                 0.0009
                     13,                0.62842,                0.66792,                0.84076,                0.92251,                0.98147,                 0.9818,                0.83696,                0.65717,                0.66591,                0.85222,              0.0008991,              0.0008991,              0.0008991
                     14,                0.66218,                0.65151,                0.84559,                0.95119,                0.98701,                 0.9872,                0.85357,                0.62151,                0.58926,                0.84694,              0.0008982,              0.0008982,              0.0008982
                     15,                0.63154,                0.62652,                0.84853,                0.97312,                0.97592,                0.99452,                0.85211,                0.63727,                0.57853,                0.84582,              0.0008973,              0.0008973,              0.0008973
                     16,                0.64579,                0.63511,                0.84463,                0.98285,                0.97894,                0.99475,                0.85366,                0.62056,                0.54631,                0.84703,              0.0008964,              0.0008964,              0.0008964
                     17,                0.64373,                0.62429,                0.84752,                0.98074,                0.98051,                 0.9942,                0.86295,                0.61508,                0.57564,                0.84557,              0.0008955,              0.0008955,              0.0008955
                     18,                0.61752,                0.60863,                0.85047,                0.97784,                0.97306,                0.99376,                0.86368,                0.60503,                0.53244,                0.84717,              0.0008946,              0.0008946,              0.0008946
                     19,                0.62536,                0.56996,                0.84077,                0.97423,                0.98502,                  0.995,                0.86878,                0.61005,                0.51595,                0.84681,              0.0008937,              0.0008937,              0.0008937
                     20,                0.63243,                0.60779,                0.84986,                0.98014,                0.99097,                0.99474,                0.85986,                0.60921,                0.51099,                0.85053,              0.0008928,              0.0008928,              0.0008928
                     21,                0.61351,                 0.6374,                0.84647,                0.97456,                 0.9923,                  0.995,                0.85899,                0.59592,                0.49348,                0.84456,              0.0008919,              0.0008919,              0.0008919
